ID,ValueEUR,WageEUR,ReleaseClause,ContractUntil
158023,78000000,320000,144300000,2023
188545,119500000,270000,197200000,2023
20801,45000000,270000,83300000,2023
231747,194000000,230000,373500000,2022
200389,112000000,130000,238000000,2023
192985,125500000,350000,232200000,2025
190871,129000000,270000,238700000,2025
215914,100000000,230000,185000000,2023
202126,129500000,240000,246100000,2024
192448,99000000,250000,210400000,2025
167495,13500000,86000,22300000,2023
200104,104000000,220000,197600000,2025
200145,88000000,310000,180400000,2025
165153,66000000,350000,135300000,2023
192119,85500000,250000,181700000,2026
208722,101000000,270000,186900000,2023
203376,86000000,230000,159100000,2025
230621,119500000,110000,230000000,2026
209331,101000000,270000,186900000,2023
210257,94000000,200000,181000000,2026
212622,108000000,160000,186300000,2025
212831,82000000,190000,157900000,2027
192505,93500000,260000,173000000,2026
155862,24000000,115000,44400000,2023
176580,44500000,135000,91200000,2022
182521,75000000,310000,153800000,2023
239085,137500000,110000,244100000,2024
193041,15500000,130000,28700000,2024
212198,107500000,250000,206900000,2025
202652,107500000,290000,206900000,2023
199556,79500000,155000,147100000,2024
177003,32000000,190000,65599999,2022
183898,49500000,160000,91600000,2022
186153,42000000,105000,69300000,2024
189596,66000000,140000,108900000,2023
192387,67500000,125000,114800000,2025
195864,79500000,220000,147100000,2022
209658,93000000,140000,160400000,2026
207865,90500000,135000,174200000,2024
211110,93000000,160000,160400000,2022
216267,83500000,175000,160700000,2026
228702,119500000,210000,253900000,2026
231281,114000000,150000,219500000,2025
239818,102500000,170000,197300000,2027
153079,51000000,260000,104600000,2023
167948,13500000,125000,25700000,2022
233049,116500000,150000,224300000,2026
201024,55500000,105000,94400000,2023
232363,74000000,150000,131400000,2023
201535,68500000,180000,131900000,2025
198219,65500000,125000,111400000,2022
192984,52000000,88000,92300000,2024
189513,53500000,64000,112400000,2024
189511,45000000,200000,92300000,2023
189509,65000000,180000,120300000,2024
189332,47000000,200000,96400000,2024
178603,44000000,95000,74800000,2023
138956,12000000,88000,19800000,2023
162835,7500000,78000,12800000,2022
231866,81000000,175000,155900000,2024
226161,88000000,95000,187000000,2027
204485,65500000,220000,121200000,2023
208093,68000000,73000,142800000,2027
208830,33000000,180000,62700000,2023
210514,71500000,185000,137600000,2025
212218,77000000,185000,148200000,2024
213345,81000000,120000,139700000,2023
218667,74000000,200000,136900000,2025
209499,73500000,165000,141500000,2026
201942,54000000,185000,99900000,2023
194765,53000000,220000,0,2022
183277,52000000,240000,106600000,2024
185122,28500000,87000,48500000,2025
179813,26000000,190000,48100000,2022
177683,26500000,40000,45100000,2023
168542,22000000,44000,46200000,2022
202556,63000000,220000,133900000,2023
163587,9000000,115000,17100000,2023
143076,33500000,51000,70400000,2024
186942,51500000,185000,95300000,2023
188350,43000000,95000,73100000,2023
184344,17500000,110000,28900000,2024
188377,39000000,170000,72200000,2024
188567,43500000,145000,82700000,2023
193747,52500000,90000,107600000,2024
164240,9500000,105000,17600000,2022
206113,64500000,110000,111300000,2023
198176,45000000,145000,76500000,2023
235243,75000000,81000,129400000,2024
235212,69500000,100000,133800000,2026
231677,77500000,150000,149200000,2023
231478,78000000,145000,138500000,2023
230142,77500000,57000,168600000,2024
226790,66500000,120000,131300000,2024
223848,66000000,100000,117200000,2024
205498,52500000,170000,97100000,2023
204963,47500000,210000,97400000,2025
200458,40500000,110000,77000000,2023
197445,35500000,195000,72800000,2026
198706,42500000,95000,72300000,2025
199434,33500000,32000,46900000,2024
199451,41500000,88000,78900000,2024
237692,94500000,125000,193700000,2024
