ID,NationalTeam,IntReputation,NationalNumber
158023,Argentina,5,10
188545,Poland,5,9
20801,Portugal,5,7
231747,France,4,10
200389,Not in team,5,
192985,Belgium,4,7
190871,Not in team,5,
215914,France,4,13
202126,England,4,9
192448,Not in team,4,
167495,Germany,5,1
200104,Not in team,4,
200145,Not in team,3,
165153,France,4,19
192119,Belgium,4,1
208722,Not in team,4,
203376,Netherlands,4,4
230621,Italy,3,21
209331,Not in team,4,
210257,Not in team,3,
212622,Germany,4,6
212831,Not in team,3,
192505,Belgium,4,9
155862,Spain,4,15
176580,Not in team,5,
182521,Not in team,4,
239085,Norway,4,23
193041,Not in team,3,
212198,Portugal,3,11
202652,England,4,10
199556,Italy,3,6
177003,Not in team,4,
183898,Argentina,4,11
186153,Poland,3,1
189596,Not in team,4,
192387,Italy,4,17
195864,France,4,6
209658,Germany,4,8
207865,Not in team,3,
211110,Argentina,3,21
216267,Scotland,3,3
228702,Netherlands,3,21
231281,England,3,22
239818,Portugal,3,4
153079,Argentina,4,9
167948,France,4,1
233049,England,3,17
201024,Not in team,3,
232363,Not in team,3,
201535,France,3,4
198219,Italy,4,10
192984,Not in team,3,
189513,Not in team,2,
189511,Spain,4,5
189509,Spain,3,10
189332,Spain,3,18
178603,Not in team,4,
138956,Italy,4,3
162835,Not in team,3,
231866,Spain,3,16
226161,Spain,3,6
204485,Not in team,3,
208093,Spain,2,9
208830,Not in team,3,
210514,Portugal,3,20
212218,Spain,3,24
213345,France,4,20
218667,Portugal,2,10
209499,Not in team,3,
201942,Not in team,3,
194765,France,4,7
183277,Belgium,4,10
185122,Hungary,3,1
179813,Not in team,4,
177683,Not in team,3,
168542,Not in team,4,
202556,Netherlands,3,10
163587,Denmark,2,1
143076,Argentina,3,17
186942,Germany,3,21
188350,Not in team,4,
184344,Italy,3,19
188377,England,3,2
188567,Not in team,3,
193747,Spain,3,8
164240,Not in team,4,
206113,Germany,4,10
198176,Netherlands,3,6
235243,Netherlands,3,3
235212,Not in team,2,
231677,England,3,11
231478,Argentina,3,22
230142,Spain,2,21
226790,Not in team,1,
223848,Not in team,3,
205498,Italy,2,8
204963,Not in team,3,
200458,France,2,18
197445,Austria,4,8
198706,Not in team,2,
199434,Not in team,3,
199451,Not in team,2,
237692,England,3,20
200647,Not in team,3,
202811,Argentina,3,23
192629,Not in team,2,
203263,England,3,6
193080,Spain,4,1
152729,Not in team,4,
186345,England,2,12
184134,Not in team,2,
183711,England,3,8
181291,Netherlands,3,8
175943,Belgium,3,14
204923,Austria,3,9
146536,Not in team,2,
