ID,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,Aggression,Vision,Composure
158023,91,80,91,94,95,86,68,72,69,44,95,96
188545,77,79,77,93,82,90,85,76,86,81,81,88
20801,85,88,86,94,74,94,95,77,77,63,76,95
231747,97,97,92,93,83,86,78,88,77,62,82,88
200389,43,60,67,88,49,59,78,41,78,34,65,68
192985,76,76,79,91,78,91,63,89,74,76,94,89
190871,93,89,96,89,84,80,64,81,53,63,90,93
215914,82,75,82,93,92,71,77,97,72,93,78,84
202126,65,74,71,92,70,91,79,83,85,80,87,91
192448,38,50,39,86,43,66,79,35,78,43,70,70
167495,54,60,51,87,35,68,77,43,80,29,70,70
200104,85,90,86,91,78,88,60,88,64,62,83,89
200145,60,69,61,87,66,88,87,89,90,91,80,84
165153,77,75,79,91,72,85,79,78,82,63,87,90
192119,42,52,62,84,45,56,68,38,70,23,44,66
208722,93,90,93,91,88,83,87,85,72,75,84,84
203376,66,88,61,87,53,81,90,69,92,83,65,90
230621,50,55,64,85,38,59,72,34,72,30,60,68
209331,89,91,91,92,91,82,69,85,75,63,83,90
210257,64,63,60,88,48,70,66,41,78,38,70,70
212622,77,65,84,88,84,78,79,94,68,89,85,85
212831,56,47,40,87,37,63,52,32,78,27,66,65
192505,81,87,60,91,52,89,76,71,95,71,75,86
155862,71,69,77,92,66,79,93,78,84,90,71,88
176580,76,69,75,92,78,89,69,78,85,87,84,87
182521,55,52,63,90,71,89,32,75,72,60,90,88
239085,82,94,75,88,72,94,74,82,93,85,71,84
193041,54,53,60,85,61,56,74,39,75,32,68,67
212198,77,73,80,91,79,89,73,91,70,78,90,87
202652,95,88,94,90,93,78,57,79,64,59,82,78
199556,68,60,91,87,94,60,67,76,54,89,89,94
177003,76,70,91,88,92,79,67,83,58,62,90,92
183898,83,83,94,84,76,83,73,78,62,73,88,86
186153,51,47,55,82,51,55,71,45,65,40,48,65
189596,66,67,73,94,71,78,77,86,66,62,85,84
192387,84,87,75,90,85,86,82,78,76,77,71,79
195864,63,77,73,83,67,90,82,77,89,78,89,88
209658,78,83,76,88,71,85,79,88,88,81,84,82
207865,81,81,69,87,67,65,92,83,78,81,74,86
211110,88,80,92,80,94,84,75,70,61,43,91,79
216267,83,85,78,85,74,76,62,95,65,85,80,83
228702,80,82,88,88,79,68,76,90,74,75,86,90
231281,77,80,73,82,73,82,66,88,63,74,87,81
239818,57,65,59,87,56,74,78,88,88,92,51,81
153079,75,68,82,89,90,90,78,62,74,65,80,91
167948,61,62,55,85,54,49,74,41,43,31,50,65
233049,85,78,91,85,90,73,51,77,68,44,87,86
201024,74,87,51,83,34,55,82,70,94,83,52,82
232363,76,84,54,86,56,50,84,79,86,84,46,87
201535,79,85,62,84,39,52,81,76,86,80,59,83
198219,90,84,89,79,93,76,50,74,34,34,89,81
192984,44,46,50,83,43,60,58,44,72,33,42,40
