ID,PreferredFoot,Height,Weight
158023,Left,170,72
188545,Right,185,81
20801,Right,187,83
231747,Right,182,73
200389,Right,188,87
192985,Right,181,70
190871,Right,175,68
215914,Right,168,70
202126,Right,188,89
192448,Right,187,85
167495,Right,193,93
200104,Right,183,78
200145,Right,185,84
165153,Right,185,81
192119,Left,199,96
208722,Right,175,69
203376,Right,193,92
230621,Right,196,90
209331,Left,175,71
210257,Left,188,86
212622,Right,177,75
212831,Right,191,91
192505,Left,191,94
155862,Right,184,82
176580,Right,182,83
182521,Right,183,76
239085,Left,194,94
193041,Right,185,80
212198,Right,179,69
202652,Right,170,69
199556,Right,165,60
177003,Right,172,66
183898,Left,180,69
186153,Right,195,90
189596,Right,185,76
192387,Right,185,85
195864,Right,191,84
209658,Right,189,82
207865,Right,183,75
211110,Left,177,75
216267,Left,178,64
228702,Right,180,74
231281,Right,180,69
239818,Right,187,82
153079,Right,173,70
167948,Left,188,82
233049,Right,180,76
201024,Right,187,89
232363,Right,188,80
201535,Right,191,81
198219,Right,163,59
192984,Left,197,86
189513,Right,182,74
189511,Right,189,76
189509,Right,174,70
189332,Left,170,68
178603,Right,191,96
138956,Left,187,85
162835,Right,193,92
231866,Right,191,82
226161,Right,184,74
204485,Left,179,67
208093,Left,180,77
208830,Right,179,74
210514,Right,182,74
212218,Left,191,85
213345,Right,180,76
218667,Left,173,64
209499,Right,188,78
201942,Right,181,76
194765,Left,176,73
183277,Right,175,74
185122,Right,191,86
179813,Right,185,77
177683,Right,183,79
168542,Left,173,67
202556,Right,176,78
163587,Right,189,89
143076,Right,167,68
186942,Right,180,80
188350,Right,180,71
184344,Right,190,85
188377,Right,183,83
188567,Right,187,80
193747,Right,176,75
164240,Right,183,79
206113,Right,176,77
198176,Right,189,78
235243,Right,189,89
235212,Right,181,73
231677,Right,186,70
231478,Right,174,72
230142,Left,181,79
226790,Right,183,74
223848,Right,191,76
205498,Right,180,68
204963,Right,173,73
200458,Left,178,74
197445,Left,180,78
198706,Right,183,74
199434,Left,181,76
