ID,TotalStats,BaseStats,Overall,Potential,Growth
158023,2219,462,93,93,0
188545,2212,460,92,92,0
20801,2208,457,91,91,0
231747,2175,470,91,95,4
200389,1413,489,91,93,2
192985,2304,485,91,91,0
190871,2183,454,91,91,0
215914,2179,470,90,90,0
202126,2205,456,90,90,0
192448,1444,484,90,92,2
167495,1534,501,90,90,0
200104,2142,455,89,89,0
200145,2219,462,89,89,0
165153,2116,446,89,89,0
192119,1327,469,89,91,2
208722,2192,465,89,89,0
203376,2104,455,89,89,0
230621,1377,481,89,93,4
209331,2211,468,89,89,0
210257,1583,501,89,91,2
212622,2283,475,89,90,1
212831,1393,486,89,90,1
192505,2064,445,88,88,0
155862,2251,461,88,88,0
176580,2307,457,88,88,0
182521,2148,445,88,88,0
239085,2102,458,88,93,5
193041,1428,477,88,88,0
212198,2341,481,88,89,1
202652,2113,451,88,89,1
199556,2202,449,87,87,0
177003,2253,464,87,87,0
183898,2177,455,87,87,0
186153,1317,465,87,87,0
189596,2136,440,87,87,0
192387,2065,437,87,87,0
195864,2222,472,87,87,0
209658,2314,496,87,88,1
207865,2074,452,87,90,3
211110,2134,447,87,88,1
216267,2163,465,87,88,1
228702,2229,478,87,92,5
231281,2227,467,87,92,5
239818,1886,407,87,91,4
153079,2068,424,87,87,0
167948,1372,472,87,87,0
233049,2007,431,87,91,4
201024,1705,397,86,86,0
232363,1829,413,86,88,2
201535,1931,427,86,88,2
198219,2025,421,86,86,0
192984,1309,464,86,87,1
189513,2167,444,86,86,0
189511,2012,420,86,86,0
189509,2199,447,86,86,0
189332,2215,467,86,86,0
178603,2043,430,86,86,0
138956,1851,406,86,86,0
162835,1289,454,86,86,0
231866,2098,449,86,89,3
226161,2252,491,86,89,3
204485,2035,430,86,86,0
208093,2118,445,86,86,0
208830,2135,444,86,86,0
210514,2227,475,86,87,1
212218,1976,419,86,89,3
213345,1974,426,86,87,1
218667,2128,451,86,86,0
209499,2163,459,86,88,2
201942,2180,460,85,85,0
194765,2259,459,85,85,0
183277,2055,432,85,85,0
185122,1303,456,85,85,0
179813,2093,427,85,85,0
177683,1356,467,85,85,0
168542,2043,416,85,85,0
202556,2081,441,85,86,1
163587,1358,463,85,85,0
143076,2060,430,85,85,0
186942,2198,461,85,85,0
188350,2126,436,85,85,0
184344,1975,428,85,85,0
188377,2194,471,85,85,0
188567,2049,432,85,85,0
193747,2227,470,85,85,0
164240,2022,414,85,85,0
206113,2080,444,85,86,1
198176,1863,412,85,85,0
235243,1975,431,85,90,5
235212,2188,482,85,88,3
231677,2146,458,85,89,4
231478,2145,454,85,89,4
230142,2056,433,85,89,4
226790,2113,442,85,88,3
223848,2224,473,85,87,2
205498,2133,435,85,85,0
204963,2124,453,85,85,0
200458,2227,464,84,84,0
197445,2247,467,84,84,0
198706,2009,423,84,84,0
199434,2109,439,84,84,0
199451,2108,440,84,84,0
237692,2060,442,84,92,8
200647,2056,438,84,84,0
202811,1449,476,84,85,1
192629,2071,430,84,84,0
203263,1950,416,84,86,2
193080,1425,465,84,84,0
152729,1977,420,84,84,0
186345,2183,447,84,84,0
184134,2046,441,84,84,0
183711,2198,460,84,84,0
181291,2271,476,84,84,0
175943,2002,419,84,84,0
204923,2229,468,84,85,1
146536,2175,458,84,84,0
41236,2040,420,84,84,0
235790,2038,434,84,92,8
204639,1730,375,84,84,0
232656,2185,480,84,90,6
216393,2187,451,84,87,3
206517,2022,437,84,85,1
216594,2117,452,84,84,0
222492,2080,441,84,87,3
224232,2236,467,84,89,5
224334,2292,480,84,84,0
216352,2203,459,84,84,0
228941,2062,432,84,85,1
230938,2196,474,84,86,2
205988,2130,453,84,86,2
207862,1961,422,84,85,1
207863,1798,390,84,84,0
208418,2087,445,84,84,0
208574,2227,478,84,84,0
208670,2087,440,84,84,0
209889,2175,459,84,84,0
210243,2186,465,84,84,0
212188,2012,430,84,87,3
215698,1456,469,84,89,5
216460,1795,398,84,88,4
197655,1808,406,83,83,0
203574,1959,428,83,86,3
199914,2130,460,83,83,0
200610,2126,445,83,83,0
201153,1945,423,83,83,0
201399,1927,399,83,83,0
202884,2110,459,83,83,0
203841,1275,454,83,83,0
204838,2091,440,83,83,0
199845,1879,407,83,83,0
192774,1652,377,83,83,0
205452,1900,417,83,84,1
183907,1943,424,83,83,0
135507,2138,442,83,83,0
169416,2006,422,83,83,0
177413,2165,453,83,83,0
178750,1368,466,83,83,0
179645,1903,407,83,83,0
180930,1962,420,83,83,0
184087,1991,412,83,83,0
192883,2146,458,83,83,0
184432,2068,429,83,83,0
189575,2073,438,83,83,0
190286,2205,468,83,83,0
190941,1197,443,83,83,0
191043,2148,459,83,83,0
192563,1357,465,83,84,1
204935,1495,462,83,85,2
241486,1914,424,83,89,6
205632,2215,473,83,83,0
225850,1951,429,83,87,4
197061,1870,403,83,83,0
207410,2125,449,83,84,1
242444,2065,431,83,91,8
239053,2175,474,83,89,6
235805,2052,453,83,91,8
234642,1168,442,83,85,2
233064,2099,440,83,89,6
231443,1990,426,83,88,5
230666,2062,436,83,87,4
230658,2154,449,83,85,2
230481,2098,439,83,83,0
229880,2005,441,83,87,4
228618,2148,474,83,86,3
193082,2229,478,83,83,0
225193,2244,478,83,87,4
215333,1901,419,83,83,0
223697,2192,468,83,83,0
213565,2155,449,83,86,3
213648,2091,446,83,86,3
214997,2127,457,83,86,3
209989,2162,467,83,83,0
216354,2057,420,83,83,0
220651,2209,461,83,86,3
220814,2007,432,83,86,3
220834,2032,431,83,86,3
223689,1919,412,83,83,0
211688,2097,453,83,86,3
234396,2115,467,82,89,7
230869,1283,451,82,86,4
231943,2124,451,82,87,5
232488,1841,401,82,87,5
233096,2016,446,82,84,2
233419,2098,449,82,87,5
233731,1910,411,82,86,4
241461,1995,422,82,90,8
234943,2021,431,82,87,5
235410,1891,409,82,86,4
235569,2118,453,82,87,5
236792,2110,451,82,85,3
240130,2018,438,82,89,7
230168,1201,443,82,82,0
241464,1883,410,82,89,7
241671,1335,453,82,87,5
244260,2037,420,82,87,5
230375,1885,405,82,82,0
227796,1955,415,82,88,6
229984,2058,437,82,86,4
220697,2087,435,82,85,3
