ID,Positions,BestPosition,ClubPosition,NationalPosition
158023,RW ST CF,RW,RW,RW
188545,ST,ST,ST,ST
20801,ST LW,ST,ST,ST
231747,ST LW,ST,ST,LW
200389,GK,GK,GK,
192985,CM CAM,CM,CM,CM
190871,LW CAM,LW,LW,
215914,CDM CM,CDM,CM,CDM
202126,ST,ST,ST,ST
192448,GK,GK,GK,
167495,GK,GK,GK,GK
200104,LM CF LW,LM,LW,
200145,CDM,CDM,CDM,
165153,CF ST,CF,CF,CF
192119,GK,GK,GK,GK
208722,LW,LW,LW,
203376,CB,CB,CB,CB
230621,GK,GK,GK,GK
209331,RW,RW,RW,
210257,GK,GK,GK,
212622,CDM RB,CDM,CDM,CDM
212831,GK,GK,GK,
192505,ST,ST,ST,ST
155862,CB,CB,CB,SUB
176580,ST,ST,ST,
182521,CM,CM,CM,
239085,ST,ST,ST,ST
193041,GK,GK,SUB,
212198,CAM,CAM,CAM,CM
202652,LW RW,LW,SUB,LW
199556,CM CAM,CM,CM,CM
177003,CM,CM,CM,
183898,RW LW,RW,SUB,LW
186153,GK,GK,GK,GK
189596,CAM RM RW,CAM,CAM,
192387,ST,ST,ST,ST
195864,CM LM,CM,CDM,CM
209658,CM CDM,CM,CDM,CDM
207865,CB CDM,CB,CB,
211110,CF CAM,CAM,CAM,SUB
216267,LB,LB,LB,LWB
228702,CM CDM CB,CM,CM,CDM
231281,RB,RB,RB,SUB
239818,CB,CB,CB,CB
153079,ST,ST,ST,SUB
167948,GK,GK,GK,GK
233049,RM CF LM,CAM,LM,SUB
201024,CB,CB,CB,
232363,CB,CB,CB,
201535,CB,CB,CB,CB
198219,LW CF,LW,LW,LW
192984,GK,GK,GK,
189513,CM,CM,CM,
189511,CDM CM,CDM,CDM,CDM
189509,CM CDM,CM,CM,SUB
189332,LB LM,LB,LB,LB
178603,CB,CB,CB,
138956,CB,CB,SUB,CB
162835,GK,GK,GK,
231866,CDM,CDM,CDM,SUB
226161,CM RM ST,CAM,RM,RB
204485,RW RM,RW,RW,
208093,ST RM RW,ST,ST,ST
208830,ST,ST,ST,
210514,RB LB,RB,LB,RB
212218,CB,CB,CB,CB
213345,LM RM LW,LM,SUB,SUB
218667,CAM CM RW,CAM,SUB,CM
209499,CDM CB,CDM,CDM,
201942,CF,CF,CF,
194765,ST LW RW,CAM,ST,RW
183277,LW,LW,SUB,LF
185122,GK,GK,GK,GK
179813,ST,ST,SUB,
177683,GK,GK,GK,
168542,CAM CM,CAM,CAM,
202556,CF LW CAM,CF,LW,ST
163587,GK,GK,GK,GK
143076,CAM CF CM,CAM,CM,SUB
186942,CM CDM,CM,CM,SUB
188350,CAM CF,CAM,CAM,
184344,CB,CB,CB,CB
188377,RB,RB,RB,RB
188567,ST LW LM,ST,ST,
193747,CM CDM,CM,CM,CM
164240,CB,CB,CB,
206113,RM LM RW,RM,RM,RM
198176,CB,CB,CB,CB
235243,CB,CB,CB,SUB
235212,RB RWB,RB,RB,
231677,LM ST,CAM,SUB,SUB
231478,ST,ST,ST,ST
230142,LW RW,LW,LW,SUB
226790,CDM CM,CB,CDM,
223848,CM CDM CAM,CM,CM,
205498,CM CDM,CM,CM,CM
204963,RB,RB,RB,
200458,LB,LB,LB,SUB
197445,CB LB,CB,LB,LB
198706,CAM CM CF,CAM,CM,
199434,LW CF CAM,LW,LW,
199451,ST,CF,ST,
237692,CAM LW CM,CAM,SUB,RW
200647,CF ST,CAM,SUB,
202811,GK,GK,GK,GK
192629,ST RW,ST,ST,
203263,CB,CB,CB,CB
193080,GK,GK,GK,SUB
152729,CB,CB,CB,
186345,RB RWB RM,RB,SUB,SUB
184134,CDM CM,CDM,CDM,
183711,CDM CM,CDM,CM,SUB
181291,CM CDM,CM,SUB,CM
175943,CF ST CAM,CF,RES,RF
204923,CM CDM CAM,CM,SUB,CAM
146536,RB RM,RB,RB,
41236,ST,ST,SUB,SUB
235790,CAM CF CM,CAM,LW,CAM
204639,CB,CB,CB,
232656,LB,LB,LB,
216393,CM CDM,CM,CDM,CM
206517,LW LM CAM,CAM,LW,SUB
216594,CAM RM ST,CAM,CAM,
222492,RM LM,ST,LM,LM
224232,CM,CM,CM,CM
224334,LB LM,LB,LB,LB
216352,CDM CM,CDM,CDM,
228941,ST,ST,ST,SUB
230938,CDM CM,CDM,CDM,
205988,LB,LB,LB,LB
207862,CB,CB,CB,
207863,CB,CB,SUB,
208418,LM ST,LM,LM,SUB
208574,LM LWB,LM,LM,
208670,RW CAM,RW,SUB,
209889,LB LM,LB,LB,LB
210243,RB RM,RB,RB,
212188,ST LW,ST,SUB,ST
215698,GK,GK,GK,SUB
216460,CB,CB,CB,
197655,CB,CB,CB,
203574,CB,CB,SUB,CB
199914,CDM CM,CDM,CDM,
200610,ST CF,ST,RF,
201153,ST,ST,ST,SUB
201399,ST,ST,SUB,
202884,LWB LB LM,LWB,RES,
203841,GK,GK,GK,
204838,ST,ST,ST,SUB
199845,CB,CB,CB,SUB
192774,CB,CB,CB,
205452,CB,CB,CB,CB
183907,CB,CB,RES,
135507,CDM CB,CDM,SUB,
169416,RW LW CAM,RW,RW,
177413,CDM CM,CDM,CDM,SUB
178750,GK,GK,SUB,
179645,CB,CB,CB,CB
180930,ST,ST,ST,
184087,CB,CB,,CB
192883,CF RM RW,CF,LM,
184432,CB RWB,CB,CB,SUB
189575,CAM RM LM,CAM,LM,
190286,CM CDM LM,CAM,LM,
190941,GK,GK,GK,GK
191043,LB LM,LB,LB,
192563,GK,GK,GK,SUB
204935,GK,GK,GK,GK
241486,CB,CB,CB,SUB
205632,LW RW,LW,LW,
225850,CB,CB,SUB,CB
197061,CB,CB,CB,
207410,CM CDM,CM,SUB,
242444,CF ST,CAM,SUB,SUB
