ID,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal
158023,85,92,91,95,34,65
188545,78,92,79,85,44,82
20801,87,94,80,87,34,75
231747,97,88,80,92,36,77
200389,87,92,78,90,52,90
192985,76,86,93,88,64,78
190871,91,83,86,94,37,63
215914,78,66,75,81,87,83
202126,70,91,83,82,47,83
192448,88,85,88,90,45,88
167495,88,88,91,88,57,89
200104,88,87,82,86,43,69
200145,65,73,76,72,86,90
165153,76,86,81,87,39,77
192119,84,89,74,88,48,86
208722,91,83,80,90,44,77
203376,78,60,71,71,91,84
230621,91,83,79,90,53,85
209331,90,87,81,90,45,75
210257,87,82,93,88,63,88
212622,70,73,86,84,83,79
212831,86,86,84,89,51,90
192505,84,87,74,78,39,83
155862,70,70,76,73,88,84
176580,72,90,82,83,47,83
182521,53,81,91,81,71,68
239085,89,91,65,80,45,88
193041,89,84,75,89,53,87
212198,75,86,89,84,70,77
202652,91,82,79,88,45,66
199556,64,61,87,91,79,67
177003,73,76,89,88,72,66
183898,83,81,86,88,48,69
186153,86,82,73,88,49,87
189596,67,84,83,79,56,71
192387,86,87,67,81,39,77
195864,71,81,86,86,65,83
209658,81,82,82,84,81,86
207865,81,53,75,73,89,81
211110,84,86,86,91,40,60
216267,84,61,81,81,82,76
228702,81,69,85,88,77,78
231281,79,68,88,80,80,72
239818,61,38,65,67,88,88
153079,71,89,75,87,33,69
167948,88,83,65,90,62,84
233049,81,76,82,91,36,65
201024,81,28,51,65,87,85
232363,80,41,53,68,87,84
201535,82,49,64,63,87,82
198219,87,78,85,90,36,45
192984,85,83,80,87,45,84
189513,50,83,90,81,71,69
189511,42,62,79,80,82,75
189509,63,72,86,90,70,66
189332,86,69,81,83,77,71
178603,56,59,77,72,89,77
138956,68,46,60,58,89,85
162835,81,81,65,87,48,92
231866,61,70,77,77,82,82
226161,88,80,81,82,78,82
204485,81,80,81,90,38,60
208093,79,86,77,84,46,73
208830,85,84,70,80,52,73
210514,85,71,83,84,80,72
212218,63,50,72,68,86,80
213345,93,76,79,88,30,60
218667,80,76,83,91,54,67
209499,67,69,78,77,85,83
201942,77,78,79,89,59,78
194765,80,84,84,87,52,72
183277,84,80,82,88,35,63
185122,85,84,76,86,43,82
179813,66,86,70,75,51,79
177683,79,81,84,86,51,86
168542,63,74,87,87,52,53
202556,82,83,82,85,30,79
163587,84,78,80,90,48,83
143076,87,78,84,87,39,55
186942,65,80,85,86,73,72
188350,73,84,84,85,47,63
184344,64,58,69,71,86,80
188377,92,63,76,78,80,82
188567,89,85,75,79,35,69
193747,70,75,85,81,79,80
164240,53,54,72,71,86,78
206113,83,84,79,86,43,69
198176,72,41,64,69,87,79
235243,73,59,60,68,84,87
235212,95,71,78,84,76,78
231677,90,84,79,85,43,77
231478,84,81,72,85,48,84
230142,82,82,81,84,41,63
226790,67,62,69,74,87,83
223848,68,79,80,81,79,86
205498,55,67,86,81,73,73
204963,80,54,78,80,81,80
200458,79,69,80,80,80,76
197445,77,70,81,80,83,76
198706,60,76,86,85,57,59
199434,69,81,85,85,43,76
199451,82,84,77,88,39,70
237692,84,78,80,87,56,57
200647,75,86,84,86,40,67
202811,85,83,82,85,58,83
192629,82,85,79,86,35,63
203263,50,55,69,70,85,87
193080,86,79,76,87,58,79
152729,58,61,71,67,85,78
186345,73,63,82,77,80,72
184134,66,62,75,73,83,82
183711,66,74,83,78,78,81
181291,77,75,80,86,79,79
175943,85,82,80,88,34,50
204923,78,84,81,80,67,78
146536,87,69,81,84,79,58
41236,65,87,78,79,34,77
235790,82,78,79,84,45,66
204639,64,35,57,56,87,76
232656,93,71,76,81,77,82
216393,63,79,86,80,71,72
206517,80,76,83,88,46,64
216594,83,83,82,87,38,79
222492,90,81,79,85,38,68
224232,78,71,79,86,75,78
224334,76,74,82,87,79,82
216352,69,74,80,79,79,78
228941,74,84,69,83,45,77
230938,78,74,74,79,82,87
205988,79,54,79,80,81,80
207862,62,58,72,65,86,79
207863,61,41,58,61,85,84
208418,88,81,78,86,45,67
208574,88,77,82,83,68,80
208670,78,76,87,84,50,65
209889,75,77,85,88,76,58
210243,83,67,78,82,80,75
212188,91,81,70,83,35,70
215698,83,81,85,86,50,84
216460,72,45,57,58,86,80
197655,68,49,55,63,84,87
203574,70,51,71,74,84,78
199914,72,71,77,81,80,79
200610,73,85,79,80,42,86
201153,82,80,72,81,31,77
201399,69,83,65,77,36,69
202884,92,64,73,81,78,71
203841,81,83,75,84,48,83
204838,72,82,76,81,47,82
199845,63,50,62,63,86,83
192774,81,25,44,61,85,81
205452,75,43,68,63,84,84
183907,72,50,73,66,84,79
135507,59,72,75,77,84,75
169416,80,82,78,84,31,67
177413,61,72,81,78,82,79
178750,85,83,78,83,56,81
179645,67,55,64,58,85,78
180930,66,83,72,78,45,76
184087,58,55,70,66,86,77
192883,85,80,79,84,56,74
184432,66,55,76,72,84,76
189575,81,76,82,87,51,61
190286,83,80,85,82,67,71
190941,85,78,69,87,41,83
191043,81,65,77,79,78,79
192563,85,80,76,85,56,83
204935,83,78,87,86,48,80
241486,81,45,64,72,84,78
205632,81,84,78,83,63,84
225850,81,42,68,69,83,86
197061,58,46,68,68,85,78
207410,70,69,83,88,69,70
242444,82,79,76,86,40,68
239053,86,74,78,79,77,80
235805,91,81,74,86,48,73
234642,83,82,78,84,34,81
233064,74,79,84,83,55,65
231443,93,77,77,87,36,56
230666,84,81,72,87,39,73
230658,69,67,83,88,72,70
230481,88,77,83,84,35,72
229880,85,52,69,79,81,75
