ID,AttackingWorkRate,DefensiveWorkRate
158023,Medium,Low
188545,High,Medium
20801,High,Low
231747,High,Low
200389,Medium,Medium
192985,High,High
190871,High,Medium
215914,Medium,High
202126,High,High
192448,Medium,Medium
167495,Medium,Medium
200104,High,High
200145,High,High
165153,Medium,Medium
192119,Medium,Medium
208722,High,Medium
203376,Medium,Medium
230621,Medium,Medium
209331,High,Medium
210257,Medium,Medium
212622,High,Medium
212831,Medium,Medium
192505,Medium,Medium
155862,High,Medium
176580,High,Medium
182521,Medium,Medium
239085,High,High
193041,Medium,Medium
212198,High,High
202652,High,Medium
199556,Medium,High
177003,Medium,Medium
183898,High,Medium
186153,Medium,Medium
189596,High,High
192387,High,Medium
195864,High,Medium
209658,High,Medium
207865,Medium,High
211110,Medium,Medium
216267,High,High
228702,High,Medium
231281,High,Medium
239818,Medium,High
153079,High,Medium
167948,Medium,Medium
233049,High,Medium
201024,Medium,High
232363,Medium,High
201535,Medium,High
198219,High,Medium
192984,Medium,Medium
189513,Medium,Medium
189511,Medium,Medium
189509,Medium,Medium
189332,High,Medium
178603,High,High
138956,Medium,High
162835,Medium,Medium
231866,Medium,High
226161,High,Medium
204485,Medium,Medium
208093,High,Medium
208830,High,Medium
210514,High,Medium
212218,Medium,Medium
213345,Medium,Medium
218667,High,High
209499,Medium,High
201942,High,High
194765,Medium,Medium
183277,Medium,Medium
185122,Medium,Medium
179813,High,High
177683,Medium,Medium
168542,High,Medium
202556,High,Low
163587,Medium,Medium
143076,High,Medium
186942,High,Medium
188350,High,Medium
184344,Medium,High
188377,High,High
188567,Medium,Low
193747,Medium,Medium
164240,Medium,High
206113,High,Medium
198176,Medium,High
235243,Medium,High
235212,High,Medium
231677,High,Medium
231478,High,Medium
230142,High,Medium
226790,Medium,High
223848,High,Medium
205498,Medium,Medium
204963,High,Medium
200458,High,Medium
197445,Medium,Medium
198706,Medium,Medium
199434,Medium,Medium
199451,High,Low
237692,High,Medium
200647,Medium,Medium
202811,Medium,Medium
192629,High,High
203263,High,High
193080,Medium,Medium
152729,High,Medium
186345,Medium,Medium
184134,Medium,Medium
183711,High,High
181291,High,High
175943,High,Low
204923,High,High
146536,High,Medium
41236,Medium,Low
235790,Medium,Medium
204639,Medium,High
232656,High,Medium
216393,Medium,Medium
206517,High,Medium
216594,High,Medium
222492,Medium,Low
224232,High,High
224334,High,High
216352,Medium,Medium
228941,Medium,Medium
230938,High,High
205988,High,Medium
207862,Medium,Medium
207863,Low,High
208418,High,High
208574,High,High
208670,High,High
209889,High,Low
210243,High,High
212188,High,Medium
215698,Medium,Medium
216460,Medium,High
197655,Medium,Medium
203574,High,Medium
199914,Medium,High
200610,High,High
201153,Medium,Medium
201399,Medium,Medium
202884,High,Medium
203841,Medium,Medium
204838,High,High
199845,Medium,High
192774,Low,Medium
205452,Medium,High
183907,Medium,Medium
135507,Medium,High
169416,High,Low
177413,Medium,Medium
178750,Medium,Medium
179645,Low,High
180930,Medium,Medium
184087,Medium,Medium
192883,Medium,Medium
184432,Medium,Medium
189575,High,Medium
190286,High,Medium
190941,Medium,Medium
191043,High,Medium
192563,Medium,Medium
204935,Medium,Medium
241486,High,High
205632,High,High
225850,Medium,High
197061,Medium,Medium
207410,High,High
242444,Medium,Medium
239053,High,High
235805,High,Medium
234642,Medium,Medium
233064,High,High
231443,High,Medium
230666,High,Medium
230658,Medium,Medium
230481,Medium,Low
229880,Medium,High
228618,High,High
193082,High,Medium
225193,High,High
215333,High,Medium
223697,High,Medium
213565,High,Medium
213648,Medium,High
214997,High,Medium
209989,Medium,High
216354,Medium,Medium
220651,High,High
220814,Low,High
220834,High,Medium
223689,High,High
211688,High,Medium
234396,High,Low
230869,Medium,Medium
231943,High,Medium
232488,Low,High
233096,High,Medium
233419,High,High
233731,High,Low
241461,High,Medium
234943,Medium,Medium
235410,High,High
235569,Medium,Medium
236792,High,High
240130,Medium,Medium
230168,Medium,Medium
241464,Medium,High
241671,Medium,Medium
244260,Medium,High
230375,Medium,Medium
227796,Medium,Medium
229984,High,High
220697,High,Medium
212190,Medium,Medium
212462,High,Medium
212523,High,Low
212616,High,Medium
216547,High,Medium
219693,Medium,High
220018,High,Medium
120533,Medium,High
222077,Medium,High
229906,High,Medium
222665,High,Medium
224293,Low,High
224458,High,High
225100,Medium,Medium
226271,Medium,Medium
229391,Medium,High
229558,High,Medium
229668,Medium,High
220440,Medium,High
190460,Medium,Low
157481,Low,High
205070,High,High
199110,High,Medium
199482,Medium,Medium
199823,Medium,Medium
201305,Low,High
201519,Medium,Medium
202651,High,Low
203486,High,High
205069,High,Medium
208128,Medium,Medium
197781,Medium,Low
208333,Medium,High
208421,Medium,Medium
208461,Medium,High
209981,Medium,Medium
210035,High,Medium
210413,Medium,Medium
210935,Medium,Medium
211256,High,High
198717,High,Medium
194404,Medium,Medium
164835,Medium,Medium
188152,High,Medium
168435,Medium,Medium
168651,Medium,Medium
